Coding System (Read),Codes,Description,Entity type,Category
Read,90576998,,res67: Hypertension_Drug_Code,drug
Read,90609996,,res67: Hypertension_Drug_Code,drug
Read,90609997,,res67: Hypertension_Drug_Code,drug
Read,90609998,,res67: Hypertension_Drug_Code,drug
Read,90613996,,res67: Hypertension_Drug_Code,drug
Read,90613997,,res67: Hypertension_Drug_Code,drug
Read,90613998,,res67: Hypertension_Drug_Code,drug
Read,90629996,,res67: Hypertension_Drug_Code,drug
Read,90629997,,res67: Hypertension_Drug_Code,drug
Read,90706996,,res67: Hypertension_Drug_Code,drug
Read,90706997,,res67: Hypertension_Drug_Code,drug
Read,90706998,,res67: Hypertension_Drug_Code,drug
Read,90722996,,res67: Hypertension_Drug_Code,drug
Read,90722997,,res67: Hypertension_Drug_Code,drug
Read,90722998,,res67: Hypertension_Drug_Code,drug
Read,90740998,,res67: Hypertension_Drug_Code,drug
Read,90781998,,res67: Hypertension_Drug_Code,drug
Read,90789998,,res67: Hypertension_Drug_Code,drug
Read,90816997,,res67: Hypertension_Drug_Code,drug
Read,90816998,,res67: Hypertension_Drug_Code,drug
Read,90817997,,res67: Hypertension_Drug_Code,drug
Read,90817998,,res67: Hypertension_Drug_Code,drug
Read,90938998,,res67: Hypertension_Drug_Code,drug
Read,90939998,,res67: Hypertension_Drug_Code,drug
Read,90981998,,res67: Hypertension_Drug_Code,drug
Read,91011998,,res67: Hypertension_Drug_Code,drug
Read,91065998,,res67: Hypertension_Drug_Code,drug
Read,91085998,,res67: Hypertension_Drug_Code,drug
Read,91089997,,res67: Hypertension_Drug_Code,drug
Read,91089998,,res67: Hypertension_Drug_Code,drug
Read,91145997,,res67: Hypertension_Drug_Code,drug
Read,91145998,,res67: Hypertension_Drug_Code,drug
Read,91168997,,res67: Hypertension_Drug_Code,drug
Read,91168998,,res67: Hypertension_Drug_Code,drug
Read,91240998,,res67: Hypertension_Drug_Code,drug
Read,91270998,,res67: Hypertension_Drug_Code,drug
Read,91344998,,res67: Hypertension_Drug_Code,drug
Read,91358996,,res67: Hypertension_Drug_Code,drug
Read,91358997,,res67: Hypertension_Drug_Code,drug
Read,91358998,,res67: Hypertension_Drug_Code,drug
Read,91422997,,res67: Hypertension_Drug_Code,drug
Read,91422998,,res67: Hypertension_Drug_Code,drug
Read,91444998,,res67: Hypertension_Drug_Code,drug
Read,91518998,,res67: Hypertension_Drug_Code,drug
Read,91520998,,res67: Hypertension_Drug_Code,drug
Read,91565997,,res67: Hypertension_Drug_Code,drug
Read,91565998,,res67: Hypertension_Drug_Code,drug
Read,91571996,,res67: Hypertension_Drug_Code,drug
Read,91571997,,res67: Hypertension_Drug_Code,drug
Read,91571998,,res67: Hypertension_Drug_Code,drug
Read,91577998,,res67: Hypertension_Drug_Code,drug
Read,91780997,,res67: Hypertension_Drug_Code,drug
Read,91780998,,res67: Hypertension_Drug_Code,drug
Read,91784998,,res67: Hypertension_Drug_Code,drug
Read,91796998,,res67: Hypertension_Drug_Code,drug
Read,91810998,,res67: Hypertension_Drug_Code,drug
Read,91861998,,res67: Hypertension_Drug_Code,drug
Read,91867998,,res67: Hypertension_Drug_Code,drug
Read,91868998,,res67: Hypertension_Drug_Code,drug
Read,91872998,,res67: Hypertension_Drug_Code,drug
Read,91873998,,res67: Hypertension_Drug_Code,drug
Read,91958996,,res67: Hypertension_Drug_Code,drug
Read,91958997,,res67: Hypertension_Drug_Code,drug
Read,91958998,,res67: Hypertension_Drug_Code,drug
Read,92042997,,res67: Hypertension_Drug_Code,drug
Read,92042998,,res67: Hypertension_Drug_Code,drug
Read,92094998,,res67: Hypertension_Drug_Code,drug
Read,92161990,,res67: Hypertension_Drug_Code,drug
Read,92181990,,res67: Hypertension_Drug_Code,drug
Read,92202998,,res67: Hypertension_Drug_Code,drug
Read,92204997,,res67: Hypertension_Drug_Code,drug
Read,92204998,,res67: Hypertension_Drug_Code,drug
Read,92240990,,res67: Hypertension_Drug_Code,drug
Read,92341998,,res67: Hypertension_Drug_Code,drug
Read,92354998,,res67: Hypertension_Drug_Code,drug
Read,92355998,,res67: Hypertension_Drug_Code,drug
Read,92439990,,res67: Hypertension_Drug_Code,drug
Read,92440990,,res67: Hypertension_Drug_Code,drug
Read,92516997,,res67: Hypertension_Drug_Code,drug
Read,92516998,,res67: Hypertension_Drug_Code,drug
Read,92517997,,res67: Hypertension_Drug_Code,drug
Read,92517998,,res67: Hypertension_Drug_Code,drug
Read,92527996,,res67: Hypertension_Drug_Code,drug
Read,92527997,,res67: Hypertension_Drug_Code,drug
Read,92527998,,res67: Hypertension_Drug_Code,drug
Read,92588998,,res67: Hypertension_Drug_Code,drug
Read,92627996,,res67: Hypertension_Drug_Code,drug
Read,92627997,,res67: Hypertension_Drug_Code,drug
Read,92627998,,res67: Hypertension_Drug_Code,drug
Read,92663990,,res67: Hypertension_Drug_Code,drug
Read,92699990,,res67: Hypertension_Drug_Code,drug
Read,92702990,,res67: Hypertension_Drug_Code,drug
Read,92727997,,res67: Hypertension_Drug_Code,drug
Read,92727998,,res67: Hypertension_Drug_Code,drug
Read,92731998,,res67: Hypertension_Drug_Code,drug
Read,92732998,,res67: Hypertension_Drug_Code,drug
Read,92753996,,res67: Hypertension_Drug_Code,drug
Read,92753997,,res67: Hypertension_Drug_Code,drug
Read,92753998,,res67: Hypertension_Drug_Code,drug
Read,92754996,,res67: Hypertension_Drug_Code,drug
Read,92754997,,res67: Hypertension_Drug_Code,drug
Read,92754998,,res67: Hypertension_Drug_Code,drug
Read,92762997,,res67: Hypertension_Drug_Code,drug
Read,92762998,,res67: Hypertension_Drug_Code,drug
Read,92824996,,res67: Hypertension_Drug_Code,drug
Read,92824997,,res67: Hypertension_Drug_Code,drug
Read,92824998,,res67: Hypertension_Drug_Code,drug
Read,92826998,,res67: Hypertension_Drug_Code,drug
Read,92828979,,res67: Hypertension_Drug_Code,drug
Read,92835990,,res67: Hypertension_Drug_Code,drug
Read,92849996,,res67: Hypertension_Drug_Code,drug
Read,92849997,,res67: Hypertension_Drug_Code,drug
Read,92849998,,res67: Hypertension_Drug_Code,drug
Read,92881996,,res67: Hypertension_Drug_Code,drug
Read,92881997,,res67: Hypertension_Drug_Code,drug
Read,92881998,,res67: Hypertension_Drug_Code,drug
Read,92882998,,res67: Hypertension_Drug_Code,drug
Read,92885990,,res67: Hypertension_Drug_Code,drug
Read,92886990,,res67: Hypertension_Drug_Code,drug
Read,92887990,,res67: Hypertension_Drug_Code,drug
Read,92887996,,res67: Hypertension_Drug_Code,drug
Read,92887997,,res67: Hypertension_Drug_Code,drug
Read,92887998,,res67: Hypertension_Drug_Code,drug
Read,92960990,,res67: Hypertension_Drug_Code,drug
Read,92968997,,res67: Hypertension_Drug_Code,drug
Read,92968998,,res67: Hypertension_Drug_Code,drug
Read,92969997,,res67: Hypertension_Drug_Code,drug
Read,92969998,,res67: Hypertension_Drug_Code,drug
Read,92990996,,res67: Hypertension_Drug_Code,drug
Read,92990997,,res67: Hypertension_Drug_Code,drug
Read,92990998,,res67: Hypertension_Drug_Code,drug
Read,93013992,,res67: Hypertension_Drug_Code,drug
Read,93014996,,res67: Hypertension_Drug_Code,drug
Read,93014997,,res67: Hypertension_Drug_Code,drug
Read,93014998,,res67: Hypertension_Drug_Code,drug
Read,93101998,,res67: Hypertension_Drug_Code,drug
Read,93102998,,res67: Hypertension_Drug_Code,drug
Read,93136997,,res67: Hypertension_Drug_Code,drug
Read,93136998,,res67: Hypertension_Drug_Code,drug
Read,93137997,,res67: Hypertension_Drug_Code,drug
Read,93137998,,res67: Hypertension_Drug_Code,drug
Read,93144998,,res67: Hypertension_Drug_Code,drug
Read,93199997,,res67: Hypertension_Drug_Code,drug
Read,93199998,,res67: Hypertension_Drug_Code,drug
Read,93204998,,res67: Hypertension_Drug_Code,drug
Read,93232997,,res67: Hypertension_Drug_Code,drug
Read,93232998,,res67: Hypertension_Drug_Code,drug
Read,93249992,,res67: Hypertension_Drug_Code,drug
Read,93251997,,res67: Hypertension_Drug_Code,drug
Read,93251998,,res67: Hypertension_Drug_Code,drug
Read,93329990,,res67: Hypertension_Drug_Code,drug
Read,93330990,,res67: Hypertension_Drug_Code,drug
Read,93331990,,res67: Hypertension_Drug_Code,drug
Read,93392990,,res67: Hypertension_Drug_Code,drug
Read,93396990,,res67: Hypertension_Drug_Code,drug
Read,93397992,,res67: Hypertension_Drug_Code,drug
Read,93400990,,res67: Hypertension_Drug_Code,drug
Read,93459996,,res67: Hypertension_Drug_Code,drug
Read,93459997,,res67: Hypertension_Drug_Code,drug
Read,93523997,,res67: Hypertension_Drug_Code,drug
Read,93523998,,res67: Hypertension_Drug_Code,drug
Read,93524997,,res67: Hypertension_Drug_Code,drug
Read,93524998,,res67: Hypertension_Drug_Code,drug
Read,93535998,,res67: Hypertension_Drug_Code,drug
Read,93536998,,res67: Hypertension_Drug_Code,drug
Read,93567996,,res67: Hypertension_Drug_Code,drug
Read,93567997,,res67: Hypertension_Drug_Code,drug
Read,93567998,,res67: Hypertension_Drug_Code,drug
Read,93568996,,res67: Hypertension_Drug_Code,drug
Read,93568997,,res67: Hypertension_Drug_Code,drug
Read,93568998,,res67: Hypertension_Drug_Code,drug
Read,93597997,,res67: Hypertension_Drug_Code,drug
Read,93597998,,res67: Hypertension_Drug_Code,drug
Read,93598997,,res67: Hypertension_Drug_Code,drug
Read,93598998,,res67: Hypertension_Drug_Code,drug
Read,93599996,,res67: Hypertension_Drug_Code,drug
Read,93599997,,res67: Hypertension_Drug_Code,drug
Read,93599998,,res67: Hypertension_Drug_Code,drug
Read,93600996,,res67: Hypertension_Drug_Code,drug
Read,93600997,,res67: Hypertension_Drug_Code,drug
Read,93600998,,res67: Hypertension_Drug_Code,drug
Read,93659998,,res67: Hypertension_Drug_Code,drug
Read,93694998,,res67: Hypertension_Drug_Code,drug
Read,93699992,,res67: Hypertension_Drug_Code,drug
Read,93710997,,res67: Hypertension_Drug_Code,drug
Read,93710998,,res67: Hypertension_Drug_Code,drug
Read,93727992,,res67: Hypertension_Drug_Code,drug
Read,93748997,,res67: Hypertension_Drug_Code,drug
Read,93748998,,res67: Hypertension_Drug_Code,drug
Read,93772998,,res67: Hypertension_Drug_Code,drug
Read,93776990,,res67: Hypertension_Drug_Code,drug
Read,93896990,,res67: Hypertension_Drug_Code,drug
Read,93919990,,res67: Hypertension_Drug_Code,drug
Read,93928996,,res67: Hypertension_Drug_Code,drug
Read,93928997,,res67: Hypertension_Drug_Code,drug
Read,93928998,,res67: Hypertension_Drug_Code,drug
Read,93929998,,res67: Hypertension_Drug_Code,drug
Read,94040992,,res67: Hypertension_Drug_Code,drug
Read,94050992,,res67: Hypertension_Drug_Code,drug
Read,94055997,,res67: Hypertension_Drug_Code,drug
Read,94055998,,res67: Hypertension_Drug_Code,drug
Read,94082998,,res67: Hypertension_Drug_Code,drug
Read,94111998,,res67: Hypertension_Drug_Code,drug
Read,94118998,,res67: Hypertension_Drug_Code,drug
Read,94139998,,res67: Hypertension_Drug_Code,drug
Read,94145996,,res67: Hypertension_Drug_Code,drug
Read,94145998,,res67: Hypertension_Drug_Code,drug
Read,94182992,,res67: Hypertension_Drug_Code,drug
Read,94217998,,res67: Hypertension_Drug_Code,drug
Read,94218998,,res67: Hypertension_Drug_Code,drug
Read,94275992,,res67: Hypertension_Drug_Code,drug
Read,94341990,,res67: Hypertension_Drug_Code,drug
Read,94361990,,res67: Hypertension_Drug_Code,drug
Read,94376990,,res67: Hypertension_Drug_Code,drug
Read,94395996,,res67: Hypertension_Drug_Code,drug
Read,94395997,,res67: Hypertension_Drug_Code,drug
Read,94395998,,res67: Hypertension_Drug_Code,drug
Read,94396996,,res67: Hypertension_Drug_Code,drug
Read,94396997,,res67: Hypertension_Drug_Code,drug
Read,94396998,,res67: Hypertension_Drug_Code,drug
Read,94445998,,res67: Hypertension_Drug_Code,drug
Read,94446998,,res67: Hypertension_Drug_Code,drug
Read,94447992,,res67: Hypertension_Drug_Code,drug
Read,94465998,,res67: Hypertension_Drug_Code,drug
Read,94474998,,res67: Hypertension_Drug_Code,drug
Read,94475998,,res67: Hypertension_Drug_Code,drug
Read,94509990,,res67: Hypertension_Drug_Code,drug
Read,94510990,,res67: Hypertension_Drug_Code,drug
Read,94511990,,res67: Hypertension_Drug_Code,drug
Read,94520996,,res67: Hypertension_Drug_Code,drug
Read,94520997,,res67: Hypertension_Drug_Code,drug
Read,94520998,,res67: Hypertension_Drug_Code,drug
Read,94541992,,res67: Hypertension_Drug_Code,drug
Read,94541996,,res67: Hypertension_Drug_Code,drug
Read,94541997,,res67: Hypertension_Drug_Code,drug
Read,94541998,,res67: Hypertension_Drug_Code,drug
Read,94542996,,res67: Hypertension_Drug_Code,drug
Read,94542997,,res67: Hypertension_Drug_Code,drug
Read,94542998,,res67: Hypertension_Drug_Code,drug
Read,94548990,,res67: Hypertension_Drug_Code,drug
Read,94553997,,res67: Hypertension_Drug_Code,drug
Read,94553998,,res67: Hypertension_Drug_Code,drug
Read,94561990,,res67: Hypertension_Drug_Code,drug
Read,94603996,,res67: Hypertension_Drug_Code,drug
Read,94603997,,res67: Hypertension_Drug_Code,drug
Read,94603998,,res67: Hypertension_Drug_Code,drug
Read,94616990,,res67: Hypertension_Drug_Code,drug
Read,94633990,,res67: Hypertension_Drug_Code,drug
Read,94636990,,res67: Hypertension_Drug_Code,drug
Read,94668998,,res67: Hypertension_Drug_Code,drug
Read,94669998,,res67: Hypertension_Drug_Code,drug
Read,94713990,,res67: Hypertension_Drug_Code,drug
Read,94716998,,res67: Hypertension_Drug_Code,drug
Read,94717990,,res67: Hypertension_Drug_Code,drug
Read,94719990,,res67: Hypertension_Drug_Code,drug
Read,94726998,,res67: Hypertension_Drug_Code,drug
Read,94732998,,res67: Hypertension_Drug_Code,drug
Read,94739998,,res67: Hypertension_Drug_Code,drug
Read,94740997,,res67: Hypertension_Drug_Code,drug
Read,94740998,,res67: Hypertension_Drug_Code,drug
Read,94748998,,res67: Hypertension_Drug_Code,drug
Read,94749990,,res67: Hypertension_Drug_Code,drug
Read,94749996,,res67: Hypertension_Drug_Code,drug
Read,94749997,,res67: Hypertension_Drug_Code,drug
Read,94749998,,res67: Hypertension_Drug_Code,drug
